timestamp,pid,cpu_percent,memory_percent,vss_kb,rss_kb
2025-06-08 05:32:38, 438334  0.0  0.1 169532 15760
2025-06-08 05:32:39, 438334 99.0  0.4 350244 33640
2025-06-08 05:32:40, 438334  100  0.5 363608 46576
2025-06-08 05:32:41, 438334  100  0.7 375944 58984
2025-06-08 05:32:42, 438334  100  0.8 388280 70864
2025-06-08 05:32:43, 438334  100  1.0 399588 82744
2025-06-08 05:32:44, 438334  109  0.3 346132 30812
2025-06-08 05:32:45, 438334  108  0.5 346132 42164
2025-06-08 05:32:46, 438334  107  0.6 346132 54572
2025-06-08 05:32:47, 438334  106  0.8 346132 66716
2025-06-08 05:32:48, 438334  106  0.9 346132 78068
2025-06-08 05:32:49, 438334  109  1.1 346132 93376
2025-06-08 05:32:50, 438334  110  1.0 335852 84316
2025-06-08 05:32:51, 438334  109  1.0 335852 84316
2025-06-08 05:32:52, 438334  108  1.0 335852 84316
2025-06-08 05:32:53, 438334  108  1.0 335852 84316
2025-06-08 05:32:54, 438334  109  1.1 401388 91968
2025-06-08 05:32:55, 438334  110  1.1 401388 95144
2025-06-08 05:32:56, 438334  110  1.1 401388 95144
2025-06-08 05:32:57, 438334  109  1.1 401388 95144
2025-06-08 05:32:58, 438334  109  1.1 401388 95144
2025-06-08 05:32:59, 438334  109  1.1 401388 96724
2025-06-08 05:33:00, 438334  112  1.2 401388 98308
2025-06-08 05:33:01, 438334  116  1.2 401388 99892
2025-06-08 05:33:02, 438334  119  1.2 401388 98856
2025-06-08 05:33:03, 438334  121  1.2 401388 98060
2025-06-08 05:33:04, 438334  120  1.2 401388 98060
2025-06-08 05:33:05, 438334  120  1.2 401388 98584
2025-06-08 05:33:06, 438334  121  1.0 335852 85996
2025-06-08 05:33:07, 438334  120  1.0 335852 85996
2025-06-08 05:33:08, 438334  119  1.0 335852 85996
2025-06-08 05:33:09, 438334  119  1.0 335852 85996
2025-06-08 05:33:10, 438334  118  1.0 401388 86260
2025-06-08 05:33:11, 438334  120  1.2 401388 97612
2025-06-08 05:33:12, 438334  119  1.2 401388 97612
2025-06-08 05:33:13, 438334  118  1.2 401388 97612
2025-06-08 05:33:14, 438334  118  1.2 401388 97612
2025-06-08 05:33:15, 438334  118  1.2 401388 97612
2025-06-08 05:33:16, 438334  119  1.0 335852 86788
2025-06-08 05:33:17, 438334  118  1.0 335852 86788
2025-06-08 05:33:18, 438334  118  1.0 335852 86788
2025-06-08 05:33:19, 438334  117  1.0 335852 86788
2025-06-08 05:33:20, 438334  117  1.0 335852 86788
